,resolver_ip,port,handshake_time,resolution_time,status
404,212.86.101.213,784,654.999,96.997,[1]
405,193.123.244.234,784,970.999,218.037,[1]
406,193.123.244.234,784,933.0,217.001,[1]
407,161.129.152.196,784,727.997,48.04,[1]
408,194.67.121.139,784,806.999,288.996,[1]
409,161.129.152.196,784,685.997,51.996,[1]
410,194.67.121.139,784,777.998,130.042,[1]
411,94.140.14.49,784,726.997,92.996,[1]
412,94.140.14.49,784,734.999,98.997,[1]
413,94.140.14.49,8853,733.003,94.012,[1]
414,94.140.14.49,8853,609.001,95.0,[1]
415,94.140.14.49,853,812.999,93.997,[1]
416,176.103.130.150,784,684.995,36.997,[1]
417,94.140.14.49,853,720.001,94.003,[1]
418,176.103.130.150,784,561.998,51.0,[1]
419,176.103.130.150,8853,592.009,27.997,[1]
420,176.103.130.150,8853,546.998,65.999,[1]
421,176.103.130.150,853,600.994,29.997,[1]
422,138.2.89.57,784,201.996,234.998,[1]
423,176.103.130.150,853,596.0,41.997,[1]
424,138.2.89.57,784,787.0,342.996,[1]
425,140.83.52.87,784,913.002,170.0,[1]
426,140.83.52.87,784,855.999,176.996,[1]
427,83.212.102.207,784,865.001,138.001,[1]
428,83.212.102.207,784,840.999,134.999,[1]
429,31.172.70.135,784,829.999,97.0,[1]
430,31.172.70.135,784,790.999,151.0,[1]
431,132.145.217.93,8853,675.0,13.999,[1]
432,94.140.15.15,784,963.002,92.006,[1]
433,132.145.217.93,8853,581.997,13.001,[1]
434,104.199.26.56,784,714.996,84.001,[1]
435,94.140.15.15,784,741.0,95.996,[1]
436,104.199.26.56,784,872.996,85.0,[1]
437,94.140.15.15,8853,796.999,113.995,[1]
438,94.140.15.15,8853,645.999,92.004,[1]
439,94.140.15.15,853,755.999,93.002,[1]
440,94.140.15.15,853,756.001,93.996,[1]
441,45.13.106.8,784,765.003,111.963,[1]
442,45.13.106.8,784,681.995,102.002,[1]
443,193.110.81.0,8853,634.997,78.035,[1]
444,193.110.81.0,8853,631.999,83.999,[1]
445,176.103.130.131,784,639.997,31.998,[1]
446,176.103.130.131,784,687.999,35.999,[1]
447,164.90.245.136,784,803.996,71.013,[1]
448,176.103.130.131,8853,620.997,45.999,[1]
449,164.90.245.136,784,644.997,70.997,[1]
450,176.103.130.131,8853,581.998,29.998,[1]
451,176.103.130.131,853,637.001,34.997,[1]
452,176.103.130.131,853,604.997,34.0,[1]
453,176.103.134.135,784,835.997,116.0,[1]
454,176.103.134.135,784,786.998,109.009,[1]
455,176.103.134.135,8853,822.997,111.959,[1]
456,176.103.134.135,8853,735.997,116.997,[1]
457,176.103.134.135,853,927.998,123.001,[1]
458,176.103.134.135,853,723.0,117.001,[1]
459,168.138.169.197,784,316.996,252.975,[1]
460,168.138.169.197,784,375.991,236.005,[1]
461,176.103.134.5,784,25.011,114.0,[1]
462,176.103.134.5,784,694.438,114.0,[1]
463,176.103.134.5,8853,793.998,115.999,[1]
464,176.103.134.5,8853,677.998,116.039,[1]
465,176.103.134.5,853,812.0,116.004,[1]
466,176.103.134.5,853,747.997,114.996,[1]
467,154.49.211.118,784,742.999,91.049,[1]
468,154.49.211.118,784,634.996,82.997,[1]
469,38.242.12.100,784,615.002,14.001,[1]
470,38.242.12.100,784,617.003,13.999,[1]
471,146.56.160.153,784,936.995,204.999,[1]
472,146.56.160.153,784,834.053,197.997,[1]
473,147.189.137.154,784,600.229,20.999,[1]
474,185.253.5.1,8853,632.956,81.995,[1]
475,147.189.137.154,784,565.994,21.998,[1]
476,185.253.5.1,8853,632.998,80.008,[1]
477,158.101.178.190,784,751.001,93.002,[1]
478,158.101.178.190,784,132.996,100.001,[1]
