ip,port,protocol,q_ui_c_handshake_duration,q_ui_c_negotiated_protocol,q_ui_c_used0_rtt,q_ui_c_error,http_version,query_time,total_time,r_code,response_ip,response_ttl,error,vp
140.238.42.214,784,quic,809017,doq-i03,1,,,67603767,137370569,0,67.225.146.248,2612,,singapore
158.101.149.111,784,quic,140154023,doq-i03,0,,,67988316,208170362,0,67.225.146.248,2548,,singapore
158.101.149.111,784,quic,871036,doq-i03,1,,,67851041,137723112,0,67.225.146.248,2546,,singapore
176.103.130.134,784,quic,485041779,doq-i03,0,,,241458685,726572859,0,67.225.146.248,852,,singapore
176.103.130.134,784,quic,243210698,doq-i03,0,,,241253956,484502196,0,67.225.146.248,850,,singapore
103.105.98.141,784,quic,40120794,doq-i03,0,,,16626513,56783822,0,67.225.146.248,2158,,singapore
103.105.98.141,784,quic,39016648,doq-i03,0,,,16498421,55564721,0,67.225.146.248,2156,,singapore
176.103.130.134,8853,quic,484992701,doq-i03,0,,,241609988,726638201,0,67.225.146.248,848,,singapore
176.103.130.134,8853,quic,243221256,doq-i03,0,,,241249185,484500647,0,67.225.146.248,846,,singapore
176.103.130.134,853,quic,485811102,doq-i03,0,,,241434714,727621426,0,67.225.146.248,844,,singapore
176.103.130.134,853,quic,243467876,doq-i03,0,,,247262352,490766841,0,67.225.146.248,842,,singapore
185.253.5.0,8853,quic,475280120,doq-i03,0,,,236455871,711788248,0,67.225.146.248,3287,,singapore
185.253.5.0,8853,quic,238383174,doq-i03,0,,,236403267,474817660,0,67.225.146.248,3285,,singapore
103.192.236.243,784,quic,230192317,doq-i00,0,,,55932671,286155220,0,67.225.146.248,2786,,singapore
103.192.236.243,784,quic,57431726,doq-i00,0,,,55343411,112832757,0,67.225.146.248,2785,,singapore
213.32.85.185,784,quic,524904983,doq-i03,0,,,260515812,785457507,0,67.225.146.248,445,,singapore
213.32.85.185,784,quic,1541272,doq-i03,1,,,260297969,536711264,0,67.225.146.248,443,,singapore
51.38.176.180,784,quic,541107631,doq-i03,0,,,272682149,813819989,0,67.225.146.248,2787,,singapore
51.38.176.180,784,quic,841179,doq-i03,1,,,265856492,534804116,0,67.225.146.248,2785,,singapore
146.56.137.68,784,quic,150286070,doq-i03,0,,,72662736,222985853,0,67.225.146.248,2733,,singapore
146.56.137.68,784,quic,837564,doq-i03,1,,,72032021,146359986,0,67.225.146.248,2731,,singapore
118.163.170.2,784,quic,137229049,doq-i03,0,,,62455676,199722467,3,,,,singapore
217.160.68.68,784,quic,777393878,doq-i03,0,,,369039697,1146484827,3,,,,singapore
118.163.170.2,784,quic,810424,doq-i03,1,,,63472909,245211250,3,,,,singapore
217.160.68.68,784,quic,748861,doq-i03,1,,,369517690,740576268,3,,,,singapore
176.103.134.149,784,quic,515916289,doq-i03,0,,,254723293,770676168,0,67.225.146.248,3172,,singapore
108.137.15.53,784,quic,58327338,doq-i03,0,,,16492992,74857622,0,67.225.146.248,2015,,singapore
108.137.15.53,784,quic,17768358,doq-i03,0,,,16214952,34020462,0,67.225.146.248,2013,,singapore
176.103.134.149,784,quic,260356107,doq-i03,0,,,257023434,517420428,0,67.225.146.248,3170,,singapore
176.103.134.149,8853,quic,517204326,doq-i03,0,,,256017330,773258458,0,67.225.146.248,3168,,singapore
176.103.134.149,8853,quic,257444838,doq-i03,0,,,256256204,513745068,0,67.225.146.248,3166,,singapore
108.137.15.53,853,quic,60767199,doq-i03,0,,,15113232,75910913,0,67.225.146.248,2008,,singapore
176.103.134.149,853,quic,521815937,doq-i03,0,,,256771527,778621199,0,67.225.146.248,3163,,singapore
108.137.15.53,853,quic,17218166,doq-i03,0,,,15101375,32354445,0,67.225.146.248,2006,,singapore
176.103.134.149,853,quic,263457656,doq-i03,0,,,261064101,524581125,0,67.225.146.248,3161,,singapore
176.103.130.130,784,quic,485011133,doq-i03,0,,,241323803,726372400,0,67.225.146.248,702,,singapore
176.103.130.130,784,quic,243517047,doq-i03,0,,,241295432,484843093,0,67.225.146.248,700,,singapore
176.103.130.130,8853,quic,483189951,doq-i03,0,,,240550754,723794188,0,67.225.146.248,698,,singapore
176.103.130.130,8853,quic,242161607,doq-i03,0,,,241269613,483489699,0,67.225.146.248,696,,singapore
176.103.130.130,853,quic,488429603,doq-i03,0,,,241488580,729950773,0,67.225.146.248,694,,singapore
176.103.130.130,853,quic,244530137,doq-i03,0,,,241624391,486210307,0,67.225.146.248,692,,singapore
35.224.3.28,784,quic,448680496,doq-i03,0,,,209910210,658627054,0,67.225.146.248,3584,,singapore
35.224.3.28,784,quic,681143,doq-i03,1,,,209450880,421317686,0,67.225.146.248,3582,,singapore
103.82.26.64,784,quic,139583693,doq-i03,0,,,61447787,201069985,0,0.0.0.0,10,,singapore
103.82.26.64,784,quic,62689389,doq-i03,0,,,61219577,123945271,0,0.0.0.0,10,,singapore
176.103.134.134,784,quic,508449303,doq-i03,0,,,268760519,777263657,0,67.225.146.248,3101,,singapore
176.103.134.134,784,quic,275037016,doq-i03,0,,,252385356,527462649,0,67.225.146.248,3099,,singapore
176.103.134.134,8853,quic,515224901,doq-i03,0,,,254972045,770232894,0,67.225.146.248,3097,,singapore
176.103.134.134,8853,quic,262213776,doq-i03,0,,,271233894,533486122,0,67.225.146.248,3095,,singapore
31.172.71.115,784,quic,808666550,doq-i03,0,,,201001937,1009728281,0,67.225.146.248,1912,,singapore
176.103.134.134,853,quic,525394045,doq-i03,0,,,264358661,789810896,0,67.225.146.248,3093,,singapore
31.172.71.115,784,quic,201770506,doq-i03,0,,,199493953,401295601,0,67.225.146.248,1910,,singapore
176.103.134.134,853,quic,270086857,doq-i03,0,,,262171256,532300185,0,67.225.146.248,3091,,singapore
132.145.123.5,784,quic,149348308,doq-i03,0,,,67319438,216706469,0,67.225.146.248,3586,,singapore
132.145.123.5,784,quic,725630,doq-i03,1,,,67440794,138103599,0,67.225.146.248,3584,,singapore
85.235.65.70,784,quic,345089641,doq-i03,0,,,168246833,513392508,0,67.225.146.248,2292,,singapore
85.235.65.70,784,quic,169583101,doq-i03,0,,,167747099,337367198,0,67.225.146.248,2290,,singapore
150.136.108.85,784,quic,572681746,doq-i03,0,,,284633185,857346722,0,67.225.146.248,10,,singapore
150.136.108.85,784,quic,289166783,doq-i03,0,,,282910276,572138818,0,67.225.146.248,10,,singapore
82.165.167.96,784,quic,719426752,doq-i03,0,,,357415159,1076880920,0,0.0.0.0,10,,singapore
82.165.167.96,784,quic,789826,doq-i03,1,,,357613958,718039565,0,0.0.0.0,10,,singapore
103.172.17.226,784,quic,48098296,doq-i03,0,,,19875741,68025095,0,67.225.146.248,3427,,singapore
176.103.130.149,784,quic,504223582,doq-i03,0,,,241218824,745478211,0,67.225.146.248,611,,singapore
103.172.17.226,784,quic,21971009,doq-i03,0,,,19253313,41258292,0,67.225.146.248,3426,,singapore
176.103.130.149,784,quic,242911559,doq-i03,0,,,241057717,484008778,0,67.225.146.248,609,,singapore
176.103.130.149,8853,quic,483965766,doq-i03,0,,,241780003,725799943,0,67.225.146.248,607,,singapore
45.55.104.59,784,quic,685619733,doq-i03,0,,,243041198,928716144,0,67.225.146.248,1311,,singapore
176.103.130.149,8853,quic,242464232,doq-i03,0,,,240565689,483061593,0,67.225.146.248,605,,singapore
152.67.204.139,784,quic,175566083,doq-i03,0,,,84563834,260162586,0,67.225.146.248,2205,,singapore
45.55.104.59,784,quic,245552482,doq-i03,0,,,241731946,487341364,0,67.225.146.248,1309,,singapore
152.67.204.139,784,quic,87001013,doq-i03,0,,,84563039,171597337,0,67.225.146.248,2203,,singapore
176.103.130.149,853,quic,483018946,doq-i03,0,,,240520423,723591692,0,67.225.146.248,602,,singapore
176.103.130.149,853,quic,241932248,doq-i03,0,,,240417431,482379835,0,67.225.146.248,600,,singapore
66.42.74.125,784,quic,635600877,doq-i02,0,,,157662749,793304523,0,67.225.146.248,818,,singapore
66.42.74.125,784,quic,161521911,doq-i02,0,,,157460740,319017213,0,67.225.146.248,816,,singapore
117.88.57.236,784,quic,248235233,doq-i02,0,,,76923595,325196826,0,67.225.146.248,1810,,singapore
